Player,Position,SeasonsPlayed,Weighted_Pts*_PerGame,Weighted_Passing_Yds_PerGame,Weighted_Passing_TD_PerGame,Weighted_Passing_Int_PerGame,Weighted_Rushing_Yds_PerGame,Weighted_Rushing_TD_PerGame,Weighted_Receiving_Rec_PerGame,Weighted_Receiving_Yds_PerGame,Weighted_Receiving_TD_PerGame,Weighted_Pts*,Weighted_Passing_Yds,Weighted_Passing_TD,Weighted_Passing_Int,Weighted_Rushing_Yds,Weighted_Rushing_TD,Weighted_Receiving_Rec,Weighted_Receiving_Yds,Weighted_Receiving_TD,Weighted_GamesPlayed,TotalWeight,ProjectedPointsPerGame,ProjectedPoints
Jahmyr GibbsJ. Gibbs,RB,2,13.280238095238095,0.0,0.0,0.0,66.43261904761906,0.6807142857142857,2.791904761904762,24.70952380952381,0.14785714285714285,196.15,0.0,0.0,0.0,980.1499999999999,10.05,40.95,365.0,2.2,13.25,0.9,13.280238095238095,212.48380952380953
Tim BoyleT. Boyle,RB,2,3.7333333333333334,89.80000000000001,0.3,0.55,2.3666666666666667,0.0,0.0,0.0,0.0,11.200000000000001,269.4,0.9,1.65,7.1000000000000005,0.0,0.0,0.0,0.0,2.7,0.9,3.7333333333333334,59.733333333333334
N'Keal HarryN. Harry,WR,1,2.7999999999999994,0.0,0.0,0.0,0.0,0.0,1.2,21.8,0.20000000000000004,14.0,0.0,0.0,0.0,0.0,0.0,6.000000000000001,109.0,1.0,5.0,0.1,2.7999999999999994,44.79999999999999
Calvin RidleyC. Ridley,WR,2,7.61875,0.0,0.0,0.0,2.854861111111111,0.04814814814814815,3.911574074074074,57.06157407407407,0.3141203703703704,116.55555555555556,0.0,0.0,0.0,43.22222222222222,0.7222222222222222,59.888888888888886,871.7222222222223,4.833333333333333,15.277777777777777,0.9,7.61875,121.9
Kenny GolladayK. Golladay,WR,1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,25.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,51.0,0.0,2.0,0.1,2.0,32.0
Josh AllenJ. Allen,QB,3,29.078729166666673,266.5540625,1.9380625000000002,0.6563333333333334,37.82602083333334,0.8334791666666668,0.0,0.3336666666666667,0.04766666666666667,443.24500000000006,4066.1500000000005,29.535000000000004,10.12,575.2450000000001,12.760000000000003,0.0,5.005,0.7150000000000001,16.775000000000002,1.0,29.078729166666673,465.25966666666676
David Martin-RobinsonD. Martin-Robinson,TE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5.699999999999999,0.0,0.95,0.65,0.0,0.0
Anthony RichardsonA. Richardson,QB,2,18.15555555555556,175.0875,0.8069444444444446,0.9430555555555555,46.42777777777778,0.7388888888888888,0.07222222222222223,-0.07222222222222223,0.0,159.07222222222225,1617.427777777778,7.272222222222222,9.83888888888889,437.9833333333334,5.98888888888889,0.7944444444444445,-0.7944444444444445,0.0,9.961111111111112,0.9,18.15555555555556,290.48888888888894
Austin HooperA. Hooper,TE,3,2.6636233974358974,0.0,0.0,0.0,0.0,0.0,2.1676746794871797,23.674791666666668,0.135375,39.71,0.0,0.0,0.0,0.0,0.0,31.967499999999998,350.4075,2.0425000000000004,13.87,1.0,2.6636233974358974,42.61797435897436
Jacoby BrissettJ. Brissett,QB,3,10.544285714285715,149.96142857142857,0.7451190476190477,0.16630952380952385,11.910119047619048,0.015714285714285715,0.0,0.0,0.0,60.17000000000001,940.5000000000001,3.575,1.375,76.28500000000001,0.22000000000000003,0.0,0.0,0.0,6.380000000000002,1.0,10.544285714285715,168.70857142857145
