GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2021112501,2021-11-25,3,0,2,LV,DAL,2,10,58,,0,,0,"(:02) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 23-K.DRAKE TO DAL 47 FOR -5 YARDS (42-K.NEAL). NASSIB, WALLER OF LAS VEGAS RULED OUT FOR THE GAME.",0,,,2021,-5,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,42,OPP,0,,0,,0
2021112501,2021-11-25,4,0,47,DAL,LV,1,10,61,,1,,0,"(:47) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 1-C.WILSON TO LV 29 FOR 10 YARDS (39-N.HOBBS). LV-52-D.PERRYMAN WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE. LV-39-N.HOBBS WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.",0,,,2021,10,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
2021112502,2021-11-25,1,11,45,BUF,NO,2,4,55,,1,,0,"(11:45) (SHOTGUN) 17-J.ALLEN LEFT GUARD TO NO 39 FOR 6 YARDS (43-M.WILLIAMS).",0,,,2021,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",45,OPP,0,,0,,0
2021112502,2021-11-25,1,11,8,BUF,NO,1,10,61,,0,,0,"(11:08) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO NO 30 FOR 9 YARDS (29-P.ADEBO). PASS 6, YAC 3",0,,,2021,9,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
2021112110,2021-11-21,4,1,57,,,0,0,100,,1,,0,"TWO-MINUTE WARNING",0,,,2021,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112110,2021-11-21,4,1,57,DAL,KC,2,3,53,,1,,0,"(1:57) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 17-M.TURNER TO KC 36 FOR 11 YARDS (56-B.NIEMANN).",0,,,2021,11,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2021112110,2021-11-21,4,1,30,DAL,KC,1,10,64,,1,,0,"(1:30) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 13-M.GALLUP TO KC 20 FOR 16 YARDS (35-C.WARD).",0,,,2021,16,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,36,OPP,0,,0,,0
2021112111,2021-11-21,1,7,51,ARI,SEA,1,10,59,,0,,0,"(7:51) (NO HUDDLE, SHOTGUN) 12-C.MCCOY SACKED AT SEA 48 FOR -7 YARDS (90-B.MONE). FUMBLES (90-B.MONE) [90-B.MONE], AND RECOVERS AT SEA 48.",0,,,2021,-7,"NO HUDDLE SHOTGUN",SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,0,,41,OPP,0,,0,,0
2021112800,2021-11-28,4,4,10,PIT,CIN,2,11,62,,0,,0,"(4:10) (SHOTGUN) 7-B.ROETHLISBERGER PASS SHORT MIDDLE TO 88-P.FREIERMUTH TO CIN 29 FOR 9 YARDS (31-MI.THOMAS).",0,,,2021,9,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,38,OPP,0,,0,,0
2021112800,2021-11-28,4,3,42,PIT,CIN,3,2,71,,1,,0,"(3:42) (NO HUDDLE, SHOTGUN) 7-B.ROETHLISBERGER PASS SHORT LEFT TO 18-D.JOHNSON TO CIN 23 FOR 6 YARDS (51-M.BAILEY).",0,,,2021,6,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,29,OPP,0,,0,,0
2021112200,2021-11-22,1,1,6,TB,NYG,2,4,54,,0,,0,"(1:06) (NO HUDDLE, SHOTGUN) 27-R.JONES LEFT TACKLE TO NYG 44 FOR 2 YARDS (75-D.SHELTON).",0,,,2021,2,"NO HUDDLE SHOTGUN",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",46,OPP,0,,0,,0
2021112200,2021-11-22,1,0,30,TB,NYG,3,2,56,,1,,0,"(:30) 27-R.JONES UP THE MIDDLE TO NYG 39 FOR 5 YARDS (75-D.SHELTON).",0,,,2021,5,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,44,OPP,0,,0,,0
2021112200,2021-11-22,2,12,57,TB,NYG,3,4,83,,1,,0,"(12:57) (SHOTGUN) 12-T.BRADY PASS SHORT LEFT TO 13-M.EVANS TO NYG 10 FOR 7 YARDS (27-J.REED).",0,,,2021,7,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,17,OPP,0,,0,,0
