Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Noah FantN. Fant,MIN@SEA,5.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
Austin HooperA. Hooper,NE@BUF,5.00,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0
Jauan JenningsJ. Jennings,SF@MIA,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
Drake LondonD. London,NYG@ATL,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
Puka NacuaP. Nacua,LA@NYJ,5.00,0,0,0,0,0,0,0,0,0,0,8,56,0,0,0,0
Samaje PerineS. Perine,HOU@KC,5.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
Tony PollardT. Pollard,TEN@IND,5.00,0,0,0,0,0,0,8,35,0,1,2,5,0,0,0,0
DeVonta SmithD. Smith,PHI@WAS,5.00,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0
Courtland SuttonC. Sutton,DEN@LAC,5.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
D'Andre SwiftD. Swift,DET@CHI,5.00,0,0,0,0,0,0,9,20,0,0,3,33,0,0,0,0
Kenneth WalkerK. Walker,MIN@SEA,5.00,0,0,0,0,0,0,8,31,0,0,8,28,0,0,0,0
Parker WashingtonP. Washington,JAX@LV,5.00,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0
Rachaad WhiteR. White,TB@DAL,5.00,0,0,0,0,0,0,3,10,0,0,7,50,0,0,1,0
Garrett WilsonG. Wilson,LA@NYJ,5.00,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0
Dyami BrownD. Brown,PHI@WAS,4.00,0,0,0,0,0,0,0,0,0,0,4,56,0,0,1,0
Marquise BrownM. Brown,HOU@KC,4.00,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
Michael CarterM. Carter,ARI@CAR,4.00,0,0,0,0,0,0,5,18,0,0,5,30,0,0,0,0
Brandin CooksB. Cooks,TB@DAL,4.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Rico DowdleR. Dowdle,TB@DAL,4.00,0,0,0,0,0,0,13,23,0,0,3,28,0,0,0,0
Jake FergusonJ. Ferguson,TB@DAL,4.00,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0
Ryan FlournoyR. Flournoy,TB@DAL,4.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Najee HarrisN. Harris,PIT@BAL,4.00,0,0,0,0,0,0,9,42,0,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,PHI@WAS,4.00,4,1,11,0,0,0,3,41,0,0,0,0,0,0,0,0
